Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Click2Sure,https://click2sure.co.za/,"Click2Sure as a digital insurance broker has developed a range of specialized policies across a range of categories. Click2Sure has developed a range of API's which enable cross-selling of product insurances directly at the point of sale. Its API's integrate into the checkout process of e-commerce, traditional retail stores, via direct mailers, web / mobile interface and bundled policies attached to high-value items.",South Africa,Product As A Service,5. Insurance,2017,Nascent,"1,000,000",Seed
collectAI,collect.ai,"collectAI is a software platform providing digitized, AI-based payments and collection services to manage accounts receivables. Covering the end-to-end process from e-invoicing and payment reminder to debt collection it flexibly optimizes the goals of collection rates, costs and customer retention. It uses digital communication channels and payment solutions for a smooth checkout process.",Germany,Product As A Service,15. Payments Processing,2016,Nascent,,Undisclosed
Consents.online,consents.online,"Consents.online is an AISP which provides open banking as a service and has access to APIs from banks to collect transaction data. It is based in London, England.",United Kingdom,Data Aggregators,10. Other Financial Data,2017,Nascent,,Undisclosed
Digital Asset,https://www.digitalasset.com/,Digital Asset provides tools that use distributed ledgers to track and settle both digital and mainstream financial assets in a cryptographically secure environment. The company's platform is designed to minimize counterparty risk and reduce settlement time.,United States,General BaaS Platforms,8. Developer Platforms,2014,Mature,"142,120,000",Series C
Doconomy,doconomy.com,"Doconomy offers a mobile product, DO. DO is a mobile banking service that enables users to understand the impact of their daily choices. This allows people to adjust behavior, and to compensate for their impact on the planet.",Sweden,Product As A Service,3. Cards,2018,Nascent,"1,000,000",Seed
Elavon,elavon.com,"Elavon provides end-to-end, payment processing services to merchants in the United States, Europe, Canada, Mexico, Puerto Rico and Brazil. Elavon markets solutions, including credit, debit and gift card processing, dynamic currency conversion, multi-currency support, and cross-border acquiring through multiple alliance channels including financial institutions, trade associations, and third-party sales agents.",United States,Product As A Service,3. Cards,1991,Emerging,,Undisclosed
FinBox,finbox.in,FinBox seeks to improve the infrastructure for distribution and access of financial services in India. FinBox democratizes technology for fintechs and enterprises so that they can build financial services and products.,India,Product As A Service,1. Lending,2015,Nascent,"1,000,000",Seed
FinConecta,https://finconecta.com/,"FinConecta provides the technology infrastructure to easily connect financial institutions’ core banking systems with third-party fintech providers worldwide. It's platform, 4wrd, accelerates open banking by facilitating the integration of multiple 3rd party solutions, bolstering digital bank initiatives and enabling the creation of new marketplaces.",United States,Data Aggregators,9. Open Banking,2016,Nascent,"1,000,000",Seed
FinGoal,fingoal.com,"FinGoal builds tools for Banks, Credit Unions, and FinTech developers that analyze consumer credit and debit card transactions to Find Money in their existing spending patterns. ​FinGoal digs down into each individual's transactions and yielding personalized advice on how to spend money wiser.",United States,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"1,000,000",Seed
FinTecSystems,https://fintecsystems.com/,"FTS is an open banking and data analytics platform provider. It is based in Munich, Germany.",Germany,General BaaS Platforms,8. Developer Platforms,2014,Nascent,,Series B
Fintecture,https://www.fintecture.com/,"Fintecture provides data aggregation APIs. Offers Account Data Access API, that provides account and transaction data as account type, balance, currency and country. The company offers Payment Initiation API, that provides SEPA transfers & SEPA instant transfers.",,Product As A Service,2. Payments Initiation,2017,Nascent,"1,000,000",Seed
Finxera,finxera.com,"Finxera is a cloud-based banking services platform that allows channel partners to offer payment and banking services to their consumers. Through a powerful set of APIs, Finxera allows fast opening of FDIC-insured deposit accounts, and allows transmission of money using a range of methods from ACH to physical check. Finxera also includes a comprehensive suite of tools that enable approved customers to meet the requirements of banking and money transmission regulations, right out of the box.",United States,General BaaS Platforms,8. Developer Platforms,2008,Nascent,"1,000,000",Seed
Fractal,https://www.askfractal.com/,"Fractal is a platform-as-a-service that seeks to reinvent how Small-Medium-Enterprises (SMEs) execute payments and access financial services. Fractal helps financial institutions and their SME clients save money by providing a smarter payments engine and an insights platform to deliver the right product, to the right SME, at the right time.",United Kingdom,Data Aggregators,10. Other Financial Data,2014,Nascent,"210,000",Series A
Global Processing Services,globalprocessing.com,"Global Processing Services (GPS) is a global payments processor certified by Mastercard and Visa to process and manage any credit, debit or pre-paid card transaction globally.",United Kingdom,Product As A Service,15. Payments Processing,2007,Emerging,"1,000,000",Seed
Green Dot,greendot.com,"Green Dot offers reloadable prepaid payment cards.  Green Dot provide computer servers and software as well as customer service to networks of retailers, typically supermarkets, drugstore chains and check-cashing outlets.",United States,Product As A Service,15. Payments Processing,1999,Emerging,"21,900,000",Series B
Hub FinTech,hubfintech.com.br,"Hub FinTech offers services and payment solutions, providing technologies for the B2B market through its own platform.On December 21st, 2020, Hub FinTech was acquired by Magazine Luiza. The terms of the transaction were not disclosed.",Brazil,Data Aggregators,9. Open Banking,2011,Emerging,,Undisclosed
